model_version,dataset_name,dataset_size,error,model_size,execution_time,load_time,B-PER_precision,B-PER_recall,B-PER_f1,I-PER_precision,I-PER_recall,I-PER_f1,overall_precision,overall_recall,overall_f1
version-12-roberta-base,a.conll,424,,124058116.0,2.3087453842163086,1.0467169284820557,0.9664804469273743,0.9885714285714285,0.9774011299435028,0.9664804469273743,0.9885714285714285,0.9774011299435028,0.0,0.0,0.0
version-12-roberta-base,b.conll,1238,,124058116.0,3.4921255111694336,1.0467169284820557,0.5496957403651116,0.4182098765432099,0.4750219106047327,0.5496957403651116,0.4182098765432099,0.4750219106047327,0.0,0.0,0.0
version-12-roberta-base,conllpp_train.txt,10492,,124058116.0,21.851632118225098,1.0467169284820557,0.7809278350515464,0.9180079530391971,0.8439376795195405,0.7809278350515464,0.9180079530391971,0.8439376795195405,0.0,0.0,0.0
version-12-roberta-base,e.conll,98,,124058116.0,1.0882432460784912,1.0467169284820557,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.0,0.0,0.0
version-12-roberta-base,f.conll,1600,,124058116.0,4.5347514152526855,1.0467169284820557,0.5430038510911425,0.3312451057165231,0.41147859922178986,0.5430038510911425,0.3312451057165231,0.41147859922178986,0.0,0.0,0.0
version-12-roberta-base,g.conll,1710,,124058116.0,4.65821099281311,1.0467169284820557,0.689,0.6168307967770814,0.6509211147850731,0.689,0.6168307967770814,0.6509211147850731,0.0,0.0,0.0
version-12-roberta-base,h.conll,1600,,124058116.0,4.261572599411011,1.0467169284820557,0.45121951219512196,0.22819383259911893,0.3031012287887654,0.45121951219512196,0.22819383259911893,0.3031012287887654,0.0,0.0,0.0
version-12-roberta-base,KAGGLE.csv,31382,,124058116.0,65.23269701004028,1.0467169284820557,0.5798480190266256,0.7429208472686734,0.651332507982016,0.5798480190266256,0.7429208472686734,0.651332507982016,0.0,0.0,0.0
version-12-roberta-base,NYT_corr1,556,,124058116.0,2.04543137550354,1.0467169284820557,0.7328990228013029,0.9493670886075949,0.8272058823529411,0.7328990228013029,0.9493670886075949,0.8272058823529411,0.0,0.0,0.0
version-12-roberta-base,NYT_corr2,864,,124058116.0,2.5107643604278564,1.0467169284820557,0.7899343544857768,0.9139240506329114,0.8474178403755868,0.7899343544857768,0.9139240506329114,0.8474178403755868,0.0,0.0,0.0
version-12-roberta-base,NYT_corr3,573,,124058116.0,1.9727425575256348,1.0467169284820557,0.8466453674121406,0.9137931034482759,0.87893864013267,0.8466453674121406,0.9137931034482759,0.87893864013267,0.0,0.0,0.0
version-12-roberta-base,ritter.txt,801,,124058116.0,2.556756019592285,1.0467169284820557,0.5802997858672377,0.7591036414565826,0.6577669902912623,0.5802997858672377,0.7591036414565826,0.6577669902912623,0.0,0.0,0.0
version-12-roberta-base,WNUT.conll,2868,,124058116.0,7.434205055236816,1.0467169284820557,0.5766129032258065,0.6924939467312349,0.6292629262926293,0.5766129032258065,0.6924939467312349,0.6292629262926293,0.0,0.0,0.0
version-13-roberta-base,a.conll,424,,124058116.0,1.9197814464569092,0.8580951690673828,0.6859504132231405,0.9485714285714286,0.7961630695443646,0.6859504132231405,0.9485714285714286,0.7961630695443646,0.0,0.0,0.0
version-13-roberta-base,b.conll,1238,,124058116.0,3.4928650856018066,0.8580951690673828,0.9567809239940388,0.9907407407407407,0.9734647460197119,0.9567809239940388,0.9907407407407407,0.9734647460197119,0.0,0.0,0.0
version-13-roberta-base,conllpp_train.txt,10492,,124058116.0,21.850404977798462,0.8580951690673828,0.8679885673454806,0.9200908918765386,0.8932806324110673,0.8679885673454806,0.9200908918765386,0.8932806324110673,0.0,0.0,0.0
version-13-roberta-base,e.conll,98,,124058116.0,1.1072297096252441,0.8580951690673828,0.7096774193548387,0.6875,0.6984126984126984,0.7096774193548387,0.6875,0.6984126984126984,0.0,0.0,0.0
version-13-roberta-base,f.conll,1600,,124058116.0,4.5383570194244385,0.8580951690673828,0.8517397881996974,0.8817541111981206,0.8664871104270873,0.8517397881996974,0.8817541111981206,0.8664871104270873,0.0,0.0,0.0
version-13-roberta-base,g.conll,1710,,124058116.0,5.374395370483398,0.8580951690673828,0.851118760757315,0.8854073410922113,0.8679245283018868,0.851118760757315,0.8854073410922113,0.8679245283018868,0.0,0.0,0.0
version-13-roberta-base,h.conll,1600,,124058116.0,4.537905693054199,0.8580951690673828,0.7092307692307692,0.8123348017621146,0.7572895277207392,0.7092307692307692,0.8123348017621146,0.7572895277207392,0.0,0.0,0.0
version-13-roberta-base,KAGGLE.csv,31382,,124058116.0,66.16486763954163,0.8580951690673828,0.7803063457330416,0.7950947603121516,0.7876311430149089,0.7803063457330416,0.7950947603121516,0.7876311430149089,0.0,0.0,0.0
version-13-roberta-base,NYT_corr1,556,,124058116.0,2.0502724647521973,0.8580951690673828,0.8272058823529411,0.9493670886075949,0.8840864440078585,0.8272058823529411,0.9493670886075949,0.8840864440078585,0.0,0.0,0.0
version-13-roberta-base,NYT_corr2,864,,124058116.0,2.507756233215332,0.8580951690673828,0.9044117647058824,0.9341772151898734,0.9190535491905354,0.9044117647058824,0.9341772151898734,0.9190535491905354,0.0,0.0,0.0
version-13-roberta-base,NYT_corr3,573,,124058116.0,1.9680378437042236,0.8580951690673828,0.9037800687285223,0.906896551724138,0.9053356282271945,0.9037800687285223,0.906896551724138,0.9053356282271945,0.0,0.0,0.0
version-13-roberta-base,ritter.txt,801,,124058116.0,2.519749879837036,0.8580951690673828,0.379746835443038,0.7563025210084033,0.5056179775280899,0.379746835443038,0.7563025210084033,0.5056179775280899,0.0,0.0,0.0
