model_version,dataset_name,model_size,dataset_size,execution_time,load_time,B-PER_precision,B-PER_recall,B-PER_f1,I-PER_precision,I-PER_recall,I-PER_f1,overall_precision,overall_recall,overall_f1
version-1-roberta-base,a.conll,124057347,424,2.226475715637207,1.1635515689849854,0.9653179190751445,0.9766081871345029,0.9709302325581396,0.9653179190751445,0.9766081871345029,0.9709302325581396,0.0,0.0,0.0
version-1-roberta-base,b.conll,124057347,1238,3.590083122253418,1.1635515689849854,0.6084788029925187,0.3765432098765432,0.46520495710200194,0.6084788029925187,0.3765432098765432,0.46520495710200194,0.0,0.0,0.0
version-1-roberta-base,conllpp_train.txt,124057347,10492,22.11823844909668,1.1635515689849854,0.8452643171806168,0.8719939405415641,0.8584211016870166,0.8452643171806168,0.8719939405415641,0.8584211016870166,0.0,0.0,0.0
version-1-roberta-base,e.conll,124057347,98,1.0314288139343262,1.1635515689849854,0.6,0.46875,0.5263157894736842,0.6,0.46875,0.5263157894736842,0.0,0.0,0.0
version-1-roberta-base,f.conll,124057347,1600,4.398641586303711,1.1635515689849854,0.7360824742268042,0.27956147220046984,0.4052213393870602,0.7360824742268042,0.27956147220046984,0.4052213393870602,0.0,0.0,0.0
version-1-roberta-base,g.conll,124057347,1710,4.491354465484619,1.1635515689849854,0.7653890824622532,0.5899731423455685,0.6663296258847322,0.7653890824622532,0.5899731423455685,0.6663296258847322,0.0,0.0,0.0
version-1-roberta-base,h.conll,124057347,1600,4.19067120552063,1.1635515689849854,0.5694444444444444,0.18061674008810572,0.27424749163879597,0.5694444444444444,0.18061674008810572,0.27424749163879597,0.0,0.0,0.0
version-1-roberta-base,KAGGLE.csv,124057347,31382,64.3614673614502,1.1635515689849854,0.7193354542241075,0.7562244518766258,0.7373188405797102,0.7193354542241075,0.7562244518766258,0.7373188405797102,0.0,0.0,0.0
version-1-roberta-base,NYT_corr2,124057347,864,2.5596723556518555,1.1635515689849854,0.8501170960187353,0.9097744360902256,0.8789346246973365,0.8501170960187353,0.9097744360902256,0.8789346246973365,0.0,0.0,0.0
version-1-roberta-base,NYT_corr3,124057347,573,1.968581199645996,1.1635515689849854,0.8888888888888888,0.8827586206896552,0.8858131487889273,0.8888888888888888,0.8827586206896552,0.8858131487889273,0.0,0.0,0.0
version-1-roberta-base,ritter.txt,124057347,801,2.481440782546997,1.1635515689849854,0.7437325905292479,0.7478991596638656,0.7458100558659219,0.7437325905292479,0.7478991596638656,0.7458100558659219,0.0,0.0,0.0
version-1-roberta-base,WNUT.conll,124057347,2868,7.212495565414429,1.1635515689849854,0.7055702917771883,0.6440677966101694,0.6734177215189873,0.7055702917771883,0.6440677966101694,0.6734177215189873,0.0,0.0,0.0
version-10-roberta-base,a.conll,124057347,424,1.7510473728179932,0.42685794830322266,0.5157894736842106,0.8596491228070176,0.6447368421052632,0.5157894736842106,0.8596491228070176,0.6447368421052632,0.0,0.0,0.0
version-10-roberta-base,b.conll,124057347,1238,3.4818663597106934,0.42685794830322266,0.6273525721455459,0.7716049382716049,0.6920415224913494,0.6273525721455459,0.7716049382716049,0.6920415224913494,0.0,0.0,0.0
version-10-roberta-base,conllpp_train.txt,124057347,10492,21.689887523651123,0.42685794830322266,0.791007363308789,0.9560689263397084,0.8657407407407406,0.791007363308789,0.9560689263397084,0.8657407407407406,0.0,0.0,0.0
version-10-roberta-base,e.conll,124057347,98,1.0665650367736816,0.42685794830322266,0.6410256410256411,0.78125,0.7042253521126761,0.6410256410256411,0.78125,0.7042253521126761,0.0,0.0,0.0
version-10-roberta-base,f.conll,124057347,1600,4.480993747711182,0.42685794830322266,0.7723880597014925,0.8104933437744715,0.7909820405043944,0.7723880597014925,0.8104933437744715,0.7909820405043944,0.0,0.0,0.0
version-10-roberta-base,g.conll,124057347,1710,4.536677360534668,0.42685794830322266,0.8048979591836735,0.88272157564906,0.8420153714773697,0.8048979591836735,0.88272157564906,0.8420153714773697,0.0,0.0,0.0
version-10-roberta-base,h.conll,124057347,1600,4.218456506729126,0.42685794830322266,0.7062600321027287,0.775330396475771,0.7391852162956741,0.7062600321027287,0.775330396475771,0.7391852162956741,0.0,0.0,0.0
version-10-roberta-base,KAGGLE.csv,124057347,31382,64.7774441242218,0.42685794830322266,0.8343232260081276,0.9918246005202527,0.9062818336162989,0.8343232260081276,0.9918246005202527,0.9062818336162989,0.0,0.0,0.0
version-10-roberta-base,NYT_corr2,124057347,864,2.5539469718933105,0.42685794830322266,0.9568345323741008,1.0,0.9779411764705883,0.9568345323741008,1.0,0.9779411764705883,0.0,0.0,0.0
version-10-roberta-base,NYT_corr3,124057347,573,1.9813153743743896,0.42685794830322266,0.9088050314465409,0.996551724137931,0.9506578947368421,0.9088050314465409,0.996551724137931,0.9506578947368421,0.0,0.0,0.0
version-10-roberta-base,ritter.txt,124057347,801,2.503084659576416,0.42685794830322266,0.4032496307237814,0.7647058823529411,0.528046421663443,0.4032496307237814,0.7647058823529411,0.528046421663443,0.0,0.0,0.0
version-10-roberta-base,WNUT.conll,124057347,2868,7.261185169219971,0.42685794830322266,0.4475825753949258,0.7546408393866021,0.5618990384615385,0.4475825753949258,0.7546408393866021,0.5618990384615385,0.0,0.0,0.0
version-11-roberta-base,a.conll,124057347,424,1.8155808448791504,0.4228377342224121,0.6097560975609756,0.8771929824561403,0.7194244604316546,0.6097560975609756,0.8771929824561403,0.7194244604316546,0.0,0.0,0.0
