dataset,model_type,num_samples,inference_time_seconds,inference_time_per_sample,person_precision,person_recall,person_f1,entity_f1_macro,token_accuracy,timestamp,model_size_mb,sentences_per_second
a,roberta-large-ner-english,379,7.385524749755859,0.019486872690648707,0.860655737704918,0.5343511450381679,0.6593406593406593,0.6593406593406593,0.729472322775364,2025-06-13T20:31:07.097490,1351.6054878234863,51.3165973768524
a,xlm-roberta-large-finetuned-conll03-english,379,7.821990251541138,0.020638496705913292,0.8888888888888888,0.5292620865139949,0.6634768740031898,0.6634768740031898,0.7239650651056492,2025-06-13T20:31:17.239405,2131.839874267578,48.453141439971375
conllpp_train,roberta-large-ner-english,455,8.77693486213684,0.01928996672997108,0.9881481481481481,0.9910846953937593,0.989614243323442,0.989614243323442,0.9973191674157525,2025-06-13T20:31:27.467682,1351.6054878234863,51.840421188818674
conllpp_train,xlm-roberta-large-finetuned-conll03-english,455,9.64720606803894,0.02120265069898668,0.9694323144104804,0.9895988112927192,0.9794117647058823,0.9794117647058823,0.9946456196513646,2025-06-13T20:31:39.351633,2131.839874267578,47.16391427642545
KAGGLE,roberta-large-ner-english,1326,25.88839602470398,0.0195236772433665,0.4996695307336418,0.7311411992263056,0.5936395759717316,0.5936395759717316,0.6846238035410019,2025-06-13T20:32:06.649290,1351.6054878234863,51.21985922707091
KAGGLE,xlm-roberta-large-finetuned-conll03-english,1326,25.517942667007446,0.01924430065385177,0.4990151017728168,0.7350096711798839,0.5944466171294486,0.5944466171294486,0.6860146797441835,2025-06-13T20:32:36.328937,2131.839874267578,51.96343675912426
ritter,roberta-large-ner-english,39,0.7639546394348145,0.019588580498328574,0.7,0.875,0.7777777777777777,0.7777777777777777,0.911725955204216,2025-06-13T20:32:38.365847,1351.6054878234863,51.05015139230362
ritter,xlm-roberta-large-finetuned-conll03-english,39,0.7840704917907715,0.020104371584378757,0.7068965517241379,0.8541666666666666,0.7735849056603773,0.7735849056603773,0.909958258795468,2025-06-13T20:32:41.687612,2131.839874267578,49.74042564837029
WNUT,roberta-large-ner-english,127,2.467958927154541,0.019432747457909773,0.8255813953488372,0.8606060606060606,0.8427299703264096,0.8427299703264096,0.9212397657025005,2025-06-13T20:32:45.468067,1351.6054878234863,51.459527386230036
WNUT,xlm-roberta-large-finetuned-conll03-english,127,2.4763596057891846,0.01949889453377311,0.8475609756097561,0.8424242424242424,0.8449848024316109,0.8449848024316109,0.9149999832550226,2025-06-13T20:32:50.151195,2131.839874267578,51.28495865588419
